,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,3.174712939943425e-05,-0.19854686159194562,0.00620734961761993,0.007310955274266879,0.00711952951382885,-0.0001983409767428045,0.00714121814678486,-0.026991346549778483,0.0019664360546804696,-0.00211794215735881,-0.021872200516126518,0.01391970176558043,-0.16290206482072295,-0.1532245339301374,-0.14438217257236613,-0.00634376797563322,-0.00032187188618804997,-0.007729954516736319,0.01040645755471663,0.0,-0.00536337890041767,-0.02227108276570925,-0.01757407925466535,-0.00017413771967593272,0.021376190910262476,0.02066140900675488,0.0003649348240863,0.021832595186380775,-0.00027157940397113,0.00401145411282487,-0.0007094383272719599,-9.429840415520197e-07,-0.00809426068479494,3.6462049607266514e-05,-0.14089690355473544,-0.14043515570238158,0.00013673268602716002,-3.237578542710784e-05,-0.00138084296486747,-0.09901426734854885,-0.11543099085619798,0.006452525468427299,0.0193019403468295,-0.003940101653679601,0.00018671084023018245,-0.00051706958279234,2.7032209191607536e-05,1.1944464526536524e-05,1.1944464526536524e-05,0.00029955459720434,0.0,-0.004711462599681191,-0.0017932413190460197,0.0,7.85820034641116e-06,0.00035393334360135,-0.1415000990133243,-0.14073848223575225,-0.00018451054413315136,0.00017508070371753686,-0.00024611883484883994,-0.00031747129399406997,-0.00019456904057652,-0.00045703293214593,-0.0015499514363217799,-0.00620357768145363
std,3.8367193202990336e-05,0.000674557731258621,0.0001351959667816121,0.00018561890581180978,0.00018409594238656603,8.837842015285993e-05,0.00011895145557394651,0.00029658827976373277,6.04658319329099e-05,4.993761119066735e-05,0.0005400838697982205,0.0004084952926396655,0.0005197275331329997,0.0006302449560195537,0.0006178092923979696,0.00012976837046899418,5.5366956136323935e-05,9.005617975802248e-05,0.00016593720900102854,0.0,0.00030886732850841296,0.0002702248114151698,0.00015202994659669028,4.7766827779656984e-05,0.00021612930513331997,0.00034550608396592745,4.3817169796127974e-05,0.0002091471828240126,2.8586765286510358e-05,0.0001487583131904587,4.887663045879428e-05,1.5183485568638526e-06,0.00024382639227380214,1.637994482148745e-05,0.0004267350580081948,0.0007201724391435177,3.126646593968286e-05,3.6598184922994565e-05,0.00012217124756362733,0.0005061669031600321,0.0003471817379640239,0.00010657115561422507,0.00020016358122945132,7.89826236109647e-05,9.074110137259741e-05,6.683115915394633e-05,3.1544364474113584e-05,1.936514551127394e-05,1.7457078488460244e-05,2.1678760505784647e-05,0.0,0.00015330594990960945,7.622409328990574e-05,0.0,5.186676807739195e-05,2.9157112047938906e-05,0.0004520839953447118,0.0004874555400462396,8.110569682511557e-05,7.073815985352125e-05,4.18592923813326e-05,2.479452810709558e-05,4.034760553636719e-05,7.684018163430246e-05,0.00011600790525263143,0.00014687488218908314
min,-2.2002960969880192e-05,-0.199742879684666,0.0058496443378523,0.0069969415884252,0.0068272044609432,-0.0003520473755182,0.0069309327055155,-0.0274376923294534,0.0018765382427178,-0.0021751498558805,-0.0227636347634209,0.0132520690641512,-0.1638151877009734,-0.1542973354414265,-0.1455935927377655,-0.0064720138052863,-0.000367763776211,-0.0079210659491605,0.0101685112482279,0.0,-0.0058779338590992,-0.0227384885223125,-0.0178161118253341,-0.0002608922515001,0.0209499621234743,0.0200698436846787,0.0002640355316387,0.0215188958285529,-0.0003111847337169,0.0037530764854356,-0.0007763901942232,-3.143280138506732e-06,-0.008568581657703,9.42984041568673e-06,-0.1414476062350104,-0.141903381855101,0.0001005849644338,-9.429840415664524e-05,-0.0016030728706634,-0.0996105475908329,-0.1161033384778351,0.0062771304366959,0.0190482776396481,-0.0040359716979055,6.286560277124487e-06,-0.0006097963468797,-3.4576081524073654e-05,-1.885968083131795e-05,-6.286560277068976e-06,0.0002608922515001,0.0,-0.0049255199771168,-0.0019425471256274,0.0,-8.172528360245179e-05,0.0002860384926086,-0.1423340112340831,-0.1415890538412454,-0.0002860384926085,-9.42984041563122e-06,-0.0002954683330242,-0.0003614772159338,-0.0002671788117772,-0.0005626471448014,-0.0016596519131574,-0.006368285560714
25%,0.0,-0.19887297690632078,0.0062056208135437005,0.007200468977396625,0.007034660950087825,-0.000275037012123525,0.007092811632651075,-0.027206661239269576,0.0019315456451425,-0.002161790915291675,-0.022212774919139026,0.013636335061089624,-0.16313388173094145,-0.15363017423201805,-0.1447071877386928,-0.0064272220633119,-0.000360691395899175,-0.007740327341193525,0.0102848126133545,0.0,-0.005515670823130725,-0.022482311191020225,-0.017659733638440974,-0.00019802664872895,0.021276863257884075,0.02047689846262165,0.00034340335513715,0.0217609283992217,-0.000291539232850975,0.003961318794614925,-0.0007504581330801,-2.357460103880049e-06,-0.008219677562323325,2.907534128164524e-05,-0.14123229154551933,-0.14069243318172237,0.00010844316478015,-4.950666218224431e-05,-0.0014419797635623751,-0.099427451522762,-0.1154778257302625,0.006395789261926375,0.01919994090633335,-0.004004538896519975,0.0001383043260964,-0.000569719525113125,2.2788781004576264e-05,-4.7149202078017324e-06,-2.357460103880049e-06,0.00028603849260855,0.0,-0.004832007392994775,-0.001829389040639425,0.0,-2.9861161316258045e-05,0.000343403355137225,-0.1416613492844322,-0.14095332543322256,-0.0002255303499413,0.000175237867724425,-0.0002742511920889,-0.000322186214201925,-0.00022238706980275,-0.0005029248221689,-0.0016431496924299751,-0.006306205777977475
50%,3.614772159341029e-05,-0.1986883091981806,0.0062394110750332,0.0073348442033199,0.0071792518364613995,-0.0001650222072741,0.00713838919466015,-0.027055783792618852,0.0019645500865973,-0.00211699917331725,-0.02181750744171565,0.0140111712176124,-0.16298536174439465,-0.1533119171179892,-0.14419640471617745,-0.0064012900021688,-0.0003379026148947,-0.00770575125966945,0.0104011139784811,0.0,-0.00533257475505985,-0.02224342190048995,-0.017555219573834,-0.00016973712748195,0.021350730341140198,0.020733075793913952,0.00038033689676525,0.021834795482477798,-0.0002766086521928,0.00398882249582725,-0.0007119529513828,0.0,-0.0081222358780281,3.929100173197253e-05,-0.14093210829228725,-0.14055491467566056,0.00013201776581930002,-4.086264180119814e-05,-0.001357897019856,-0.09914219885018805,-0.11542753324804561,0.00645001084431645,0.01926830724934695,-0.00395738969444165,0.00019016844838259998,-0.00051549794272305,3.3004441454848044e-05,1.4144760623530095e-05,7.858200346405608e-06,0.00030018325323205,0.0,-0.00467877248624025,-0.0017743816382147,0.0,1.4144760623530095e-05,0.00035833393579530004,-0.1415419046391671,-0.1408079487268143,-0.00019645500865964998,0.0001854535281748,-0.0002656071717079,-0.00031589965392479996,-0.00018231024803615,-0.00048092186119895003,-0.0015810699096934998,-0.0062566991157952
75%,5.7364862528663796e-05,-0.19793785106510045,0.006266914776245525,0.007418926947026274,0.0072177570181587245,-0.0001320177658193,0.007193396597084875,-0.0268043213815344,0.002011699288675725,-0.002077708171585325,-0.021389235522837426,0.0142367015675538,-0.16274018589358732,-0.15279170425505828,-0.14394258484498906,-0.00629363265742325,-0.0003237578542712,-0.007676675918387825,0.010471051961563975,0.0,-0.00511333096539555,-0.022047752711864876,-0.0174656360898852,-0.00015716400692775,0.021523610748760753,0.0208037995970315,0.000395267477423375,0.0218677999239326,-0.000251462411084375,0.004101980580815275,-0.000676591049824075,0.0,-0.0079132077488141,4.636338204373758e-05,-0.14054548483524487,-0.14001819959200218,0.000153234906754575,-2.043132090059907e-05,-0.00129424559705025,-0.09857169350504016,-0.11528608564181055,0.006525449567641825,0.019386966074577426,-0.00388588007128955,0.000233388550287775,-0.000479350221129675,4.007682176661309e-05,2.8289521247018556e-05,2.357460103917519e-05,0.000311970553751675,0.0,-0.004635552384335075,-0.0017445204768984,0.0,4.164846183590809e-05,0.000367763776211,-0.14110734616001175,-0.14066414366047544,-0.000189382628347925,0.000209028129213925,-0.000209813949248475,-0.000308827273613025,-0.000167379667378,-0.00041255551818535,-0.0015001304461256249,-0.006138826110599375
max,9.115512401813852e-05,-0.1976463118322494,0.0063462825997441,0.0076413140168291,0.0073615620844976,-9.429840415664524e-05,0.0073364158433892,-0.0265387142098265,0.0020525619304769,-0.0020399888099226,-0.02124228717636,0.0144025095948626,-0.1618034884122977,-0.1521693347876242,-0.1436196128107525,-0.0060602441071355,-0.0002137430494217,-0.0076287408962748,0.0107217285526138,0.0,-0.0049758124593337,-0.0219306655267036,-0.0173446198045508,-7.54387233253273e-05,0.0216823463957578,0.0212328573359443,0.0004054831378736,0.0222984293029147,-0.0002200296096988,0.0042780042685744,-0.0006160829071569,0.0,-0.0077136094600158,5.97223226325716e-05,-0.1402500165022207,-0.1391467251735876,0.0001885968083133,4.086264180125365e-05,-0.001216449413621,-0.0981740685675129,-0.1148900323443525,0.0066040315711057,0.0197618022311002,-0.0038096555279296,0.000339474254964,-0.000396053297458,7.229544318682057e-05,3.771936166269141e-05,4.086264180125365e-05,0.0003363309748254,0.0,-0.0044760309173034,-0.0017099443953743,0.0,8.801184387957628e-05,0.0003866234570423,-0.140913248611456,-0.1398571064849012,9.42984041568673e-06,0.0002514624110844,-0.0001823102480362,-0.0002797519323314,-0.0001445908863735,-0.0003017548933013,-0.001357897019856,-0.0059376561817318
