,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,-1.8231024803613826e-05,-0.00011913031725121642,0.00036493482408628996,-0.00099987741207455,0.00023165974621153,4.1176969815090445e-05,-0.00022600184196208003,0.00010372824457232664,0.00281229273996582,-0.006096391828728879,-0.00010278526053073894,-0.07316518880112148,-3.520473755181941e-05,-0.00106997255916434,-0.01574028962183192,-0.00591533889274808,-0.018081090341014378,-0.00277111577015073,0.00015370639877535384,0.0,0.00028792446069167085,-0.00047212067681103,-0.010642517893122119,-0.00198906767167804,-0.00734553135579096,-0.00193783220541958,-2.8918177274703248e-05,-0.005559205253049719,-0.0006123109709906101,3.8976673718099654e-05,-0.00016376489521872,0.0,-0.0094949063145354,-0.0013239495943596603,0.00014741983849822,-6.758052297894667e-05,0.0,0.00035424767161518,-0.00019236874447955003,-0.00021185708133860062,-0.01319486136562944,0.00052775673526348,-9.146945203193719e-05,0.0009363831532757302,0.00027943760431756,0.0007075523591888501,8.423990771327688e-05,6.883783503438545e-05,-0.0005120403345706701,-0.0002904390848025,-3.143280138562244e-07,4.463457796749504e-05,2.5774897136165986e-05,0.0,-0.00027723730822058003,9.115512401820948e-06,0.00010687152471085068,-0.00020054127283982,0.0,0.00125511175932527,0.0006245697635309901,0.00121362046149634,0.00023574601039163997,4.4005921939871405e-06,-2.5774897136146558e-05,-0.00083925579699434
std,2.4473665193568926e-05,3.885056952172809e-05,6.658760335734261e-05,5.627651761507736e-05,6.364743429379867e-05,1.4702280075614631e-05,1.9904683423273083e-05,8.828583075505765e-05,0.00011857801842297788,0.00012947575802895622,4.4305509506442106e-05,0.0004410759935277048,3.880391743737678e-05,8.050998012516633e-05,0.00034176641451214685,0.00020185879763441147,0.00025594549786531076,6.699440331879408e-05,3.5545172703794367e-05,0.0,0.0001685767444439953,0.00011301052625430643,0.0002269304103799583,7.015768722273998e-05,0.0002279905155588183,0.0001715913016102033,1.0244500306745962e-05,0.00011406830378374186,7.550854168671367e-05,1.2503074769355933e-05,2.2639861755436803e-05,0.0,0.00021683342894229245,6.258206816389833e-05,1.6058439580735484e-05,9.400690916510705e-06,0.0,5.1094821950097065e-05,4.143092833194607e-05,0.00011967603126222334,0.0003513787936285861,3.805114833691365e-05,5.4854016028058506e-05,6.387814150432623e-05,2.7619956451549818e-05,7.337986567127109e-05,2.833992405212827e-05,1.5071000317354995e-05,4.682092529319303e-05,5.760203197899359e-05,9.939924561826352e-07,2.6786616217058894e-05,4.7504104777626806e-05,0.0,6.062177010369085e-05,6.224170910685833e-05,1.9033506449023173e-05,3.928192009533643e-05,0.0,6.509702052802378e-05,7.614916458030679e-05,3.137862042043173e-05,4.294538243121176e-05,2.4847602434208314e-05,1.435087067247268e-05,7.398402771075878e-05
min,-6.915216304823057e-05,-0.0001760236877591,0.0002640355316387,-0.0011064346087716,0.0001351610459578,2.2002960969907948e-05,-0.0002483191309458,-5.029248221688487e-05,0.002596349394447,-0.0062488409154488,-0.0001634505672049,-0.0738325071745369,-8.172528360245179e-05,-0.0012038762930668,-0.0163576298410443,-0.0063022766778043,-0.0184290514523525,-0.0029201072487183,9.115512401813852e-05,0.0,0.0,-0.0006852350702051,-0.0109700476835596,-0.0021217140935251,-0.0078110511443111,-0.0021782931360191,-5.029248221688487e-05,-0.0057742056145269,-0.0007889633147774,1.8859680831345704e-05,-0.0002043132090061,0.0,-0.0098541832343723,-0.0014616252644284,0.0001288744856808,-8.172528360245179e-05,0.0,0.0002703220919157,-0.0002860384926085,-0.000480921861199,-0.0138461490103382,0.0004620621803677,-0.0001791669678976,0.0008549721976871,0.0002420325706687,0.0005783635454942,4.400592193978814e-05,4.714920207835038e-05,-0.0005815068256328,-0.0003803368967652,-3.1432801385622437e-06,1.571640069278346e-05,-3.457608152410141e-05,0.0,-0.000367763776211,-0.0001194446452651,6.286560277113384e-05,-0.000254605691223,0.0,0.0011661569314042,0.0005154979427231,0.0011755867718198,0.0001728804076205,-3.457608152410141e-05,-4.0862641801225896e-05,-0.0009524138819823
25%,-3.0646981350905544e-05,-0.000140661786200275,0.00032611531437514997,-0.001030210065411625,0.0001862393482094,2.6717881177723557e-05,-0.00024439003077265,5.1864122286186816e-05,0.002740154460786,-0.006186761132712375,-0.0001406617862003,-0.07336965917413453,-7.229544318677894e-05,-0.00111193534901405,-0.015958433263447723,-0.006043741886408075,-0.018321394107606973,-0.002792804403106725,0.000140661786200325,0.0,0.000250676591049775,-0.000536715083658375,-0.010776735955038474,-0.00200777018850245,-0.007473934349451,-0.0020557052106154,-3.1432801385539166e-05,-0.005605254307079575,-0.000626298567607225,2.98611613162858e-05,-0.000169737127482,0.0,-0.009596434263010776,-0.001344538079267175,0.00013358940588857499,-7.386708325605312e-05,0.0,0.00033083023458295,-0.000201955748902125,-0.0002601064314654,-0.0133110055667491,0.000506068102307425,-0.00012494538550755,0.0008926915593498,0.000256963151326875,0.0006710903095816,6.365142280576747e-05,6.050814266721216e-05,-0.0005272852432427,-0.00033318769468687495,0.0,2.1217140935260448e-05,-5.500740242463109e-06,0.0,-0.00032061457413265,-7.858200346405613e-07,0.0001037282445723,-0.000227101990010625,0.0,0.0012203785137942,0.0005980090463602,0.001195232272685825,0.00021217140935245,-9.429840415658974e-06,-3.379026148946085e-05,-0.0008644020381028249
50%,-1.257312055420734e-05,-0.00013358940588855,0.0003551906556568,-0.0009948481638528501,0.00024989077101515,4.557756200906926e-05,-0.0002231728898374,0.0001084431647801,0.0028006626034532,-0.0061105365893524,-9.744168429517427e-05,-0.07317870490571725,-3.614772159338253e-05,-0.0010702868871782,-0.01572740217326385,-0.00591565322076195,-0.017996850433301098,-0.0027629432417905,0.0001540207267892,0.0,0.0002938966929549,-0.0004730636608526,-0.010684009190951051,-0.0019802664872901,-0.007245260719371,-0.0019802664872901,-2.9861161316271922e-05,-0.00555417600482805,-0.00060665306674125,3.9291001731944775e-05,-0.0001681654874127,0.0,-0.009495849298577,-0.0013217492982627,0.00014930580658135002,-6.915216304823057e-05,0.0,0.00035990557586460003,-0.00018231024803615,-0.00018388188810545002,-0.013203348222003551,0.000537500903693,-9.115512401806528e-05,0.0009319825610817501,0.00028132357240069996,0.0007182395116599499,7.858200346390343e-05,6.286560277113384e-05,-0.0005123546625845,-0.00026875045184645,0.0,4.243428187050702e-05,1.8859680831345704e-05,0.0,-0.0002876101326778,1.4144760623516217e-05,0.0001084431647801,-0.00019645500865970002,0.0,0.0012478822150066,0.0006176545472261501,0.00120701957320535,0.00023888929053015,1.571640069278346e-05,-3.1432801385539166e-05,-0.0008408274370636
75%,0.0,-9.429840415663639e-05,0.000387409277076925,-0.00096577282257125,0.000286038492608575,5.26499423208135e-05,-0.0002200296096988,0.00013830432609645,0.002912249048371875,-0.0060460993465119755,-6.600888290966833e-05,-0.0729445305353949,-1.1001480484940096e-05,-0.001019994404961325,-0.01547201066200615,-0.0057333429727257,-0.017931627370426077,-0.002737011180647425,0.000168951307447325,0.0,0.00041255551818539997,-0.000422771178635725,-0.01049069746242985,-0.001947262045835275,-0.00717925183646135,-0.00184667708140145,-2.043132090059907e-05,-0.005505455162680425,-0.00056343296483605,4.400592193978814e-05,-0.000153234906754525,0.0,-0.009438484436048325,-0.00128874485680785,0.0001508774466506,-6.0508142667184406e-05,0.0,0.000375621976557325,-0.00016737966737804998,-0.00013830432609637498,-0.012896878408494376,0.000550859844281875,-5.7364862528642986e-05,0.00097284520288295,0.00029782579312815,0.0007528155931840249,0.00010294242453765001,8.329692367173985e-05,-0.0005123546625845,-0.0002459616708419,0.0,5.5793222459368796e-05,6.836634301360389e-05,0.0,-0.000219243789664225,4.636338204371677e-05,0.0001163013651265,-0.000192525908486525,0.0,0.0012966030571542001,0.0006522306287503,0.00122823671414065,0.000253034051153725,2.1217140935267387e-05,-1.7288040762050705e-05,-0.00079682151512385
max,6.286560277124487e-06,-5.029248221688487e-05,0.0004997815420303,-0.0009084079600426,0.0003048981734399,5.97223226325716e-05,-0.0001854535281747,0.0002671788117772,0.0029798295713509,-0.0058182115364667,-4.4005921939760384e-05,-0.0724431773532952,1.8859680831345704e-05,-0.0009366974812896,-0.0153360637960136,-0.0056830504905088,-0.0176746642190991,-0.0026686448376338,0.0002200296096989,0.0,0.0004903517016147,-0.0002891817727471,-0.0103131021346015,-0.0018922546434105,-0.0071258160741059,-0.001662795193296,-1.571640069278346e-05,-0.005356149356099,-0.0005217845030002,6.286560277113384e-05,-0.0001194446452651,0.0,-0.0091280855223659,-0.0012384523745909,0.0001823102480362,-5.343576235544712e-05,0.0,0.0004306293789821,-0.0001445908863735,-6.286560277110609e-05,-0.0127491442419822,0.0005720769852171,3.1432801385622437e-06,0.0010624286868318,0.0003237578542712,0.0008141095558859,0.0001257312055422,9.115512401813852e-05,-0.0004117696981507,-0.000226316169976,0.0,9.4298404156673e-05,9.4298404156673e-05,0.0,-0.000198026648729,8.172528360245179e-05,0.0001351610459578,-0.0001225879254036,0.0,0.0013704701404103,0.0007763901942232,0.0012635986156994,0.0003048981734399,3.4576081524129165e-05,3.1432801385622437e-06,-0.0007323842722835
