1551463599.000000, 1551463599.000000, 1551463599.000000
32.000000, 32.000000, 32.000000
11,-56,25
29,-56,38
16,-53,30
8,-55,22
9,-57,19
8,-56,15
6,-57,13
9,-59,14
21,-56,28
20,-55,33
15,-55,35
8,-54,32
9,-54,31
7,-53,29
9,-55,29
11,-56,27
13,-55,27
13,-56,23
15,-56,24
14,-56,24
15,-57,20
18,-56,21
16,-57,22
17,-56,22
16,-57,21
19,-56,21
19,-56,21
18,-56,20
18,-56,20
18,-56,19
20,-55,18
20,-56,17
21,-55,15
22,-56,15
23,-56,16
25,-56,16
26,-56,17
27,-56,16
27,-55,16
27,-55,17
26,-55,14
27,-55,15
29,-56,14
27,-55,13
27,-55,13
26,-55,14
27,-54,14
29,-55,16
28,-55,15
28,-55,15
28,-54,14
27,-55,12
31,-56,9
26,-56,5
21,-57,4
22,-56,8
29,-54,13
33,-51,12
31,-52,11
35,-53,10
35,-53,10
35,-52,11
33,-54,8
29,-54,5
29,-54,6
36,-54,6
38,-54,3
38,-53,4
42,-52,8
31,-53,5
33,-53,8
40,-53,15
36,-53,13
28,-53,14
29,-54,11
25,-54,12
23,-54,16
27,-54,18
28,-55,19
25,-54,18
28,-56,16
14,-56,16
20,-55,23
19,-56,21
17,-56,22
18,-56,25
4,-56,18
10,-55,22
22,-56,36
23,-53,36
9,-54,26
9,-56,27
11,-56,24
7,-57,21
7,-55,27
2,-56,23
-2,-55,25
1,-53,29
-7,-54,27
-12,-54,29
-5,-50,50
-7,-49,48
-3,-53,31
0,-53,33
-3,-53,34
0,-53,31
0,-54,28
4,-53,35
4,-52,35
4,-52,35
3,-52,34
2,-52,33
3,-53,32
3,-53,32
3,-53,33
6,-53,35
5,-52,34
5,-52,33
5,-53,32
8,-52,35
5,-52,33
4,-52,33
8,-53,35
11,-52,37
6,-52,33
6,-52,33
8,-53,34
4,-52,32
4,-52,32
6,-52,32
5,-52,31
4,-52,29
13,-51,33
19,-51,35
12,-50,31
13,-51,30
18,-50,33
20,-50,29
24,-50,29
31,-50,36
26,-50,34
25,-51,30
26,-51,28
26,-50,27
24,-50,27
23,-50,28
25,-50,28
26,-50,27
23,-52,25
25,-53,25
27,-53,25
25,-52,26
18,-51,27
18,-51,28
18,-51,29
19,-51,29
24,-51,29
26,-51,29
27,-50,32
22,-50,30
20,-50,29
24,-52,27
23,-52,28
20,-52,27
22,-53,23
24,-54,25
19,-54,23
17,-55,20
20,-56,19
20,-56,23
17,-56,21
18,-57,19
13,-56,18
10,-57,22
10,-55,26
11,-55,28
7,-55,28
8,-55,26
14,-56,28
11,-54,29
6,-55,27
10,-54,30
12,-54,31
11,-55,28
11,-55,28
10,-55,26
13,-55,26
15,-55,26
16,-55,28
15,-55,28
14,-54,27
14,-54,29
14,-54,28
14,-55,26
15,-55,27
15,-54,26
14,-54,24
14,-54,24
18,-54,26
20,-54,25
19,-54,24
18,-54,22
22,-54,25
24,-53,25
21,-53,24
24,-53,24
25,-53,25
25,-53,24
26,-53,22
28,-53,23
30,-54,22
28,-53,21
27,-54,23
17,-54,17
20,-53,23
18,-54,30
13,-51,29
16,-53,26
20,-53,28
20,-55,23
23,-55,27
25,-55,28
22,-56,25
25,-57,26
12,-54,28
-3,-55,25
-3,-56,23
5,-55,28
1,-55,26
-3,-56,25
-7,-55,28
-8,-55,27
-10,-55,26
-11,-54,27
-12,-54,31
-12,-53,33
-15,-53,31
-12,-53,32
-10,-53,34
-8,-53,33
-8,-53,33
-4,-53,33
-3,-54,30
-3,-54,30
-4,-53,34
-4,-53,34
-3,-54,31
-4,-54,32
-4,-54,32
-1,-54,32
-4,-54,32
-3,-54,31
-1,-53,34
0,-54,34
-3,-54,32
-2,-54,33
0,-54,32
-2,-53,32
-2,-54,33
0,-54,32
-1,-54,32
0,-54,32
1,-54,33
0,-54,31
-2,-54,30
2,-54,32
1,-54,31
2,-54,30
3,-54,30
7,-53,33
9,-54,34
8,-54,33
9,-54,32
7,-54,31
4,-54,31
3,-54,28
5,-55,27
9,-54,29
9,-54,31
7,-53,33
11,-54,33
10,-53,31
11,-53,31
7,-54,29
9,-54,30
14,-54,31
8,-55,28
3,-54,26
6,-53,26
13,-54,27
11,-53,26
