,F1 Score,BAccuracy,Accuracy,Class,Baseline,Fitted Models,Test IX
0,0.5947151076666997,0.6925451386734504,0.5721476510067114,[0 1],0.5067114093959731,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[134. 137.]
1,0.6127330965810505,0.5466684626436782,0.5973534971644613,[0 1],0.4933837429111531,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  9. 131.]
2,0.36380477683335694,0.43744039509536786,0.36622390891840606,[0 1],0.4781783681214421,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 58. 122.]
3,1.0,1.0,1.0,[0 1],0.7798861480075902,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  5. 125.]
4,0.8592592592592593,0.7532467532467533,0.7532467532467533,[1],0.5250463821892394,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  4. 116.]
5,0.4347924050354017,0.504688184606397,0.45269016697588127,[0 1],0.4972170686456401,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[113. 126.]
6,0.4622199116889719,0.43360807203824836,0.45996275605214154,[0 1],0.4860335195530726,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 66. 127.]
7,0.6641576274581596,0.6348901260751738,0.7140186915887851,[0 1],0.6242990654205608,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[133. 139.]
8,0.39209726443769,0.2438563327032136,0.2438563327032136,[0],0.5198487712665406,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  1. 111.]
9,0.6009048228766538,0.5769230769230769,0.6269230769230769,[0 1],0.475,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[62. 68.]
10,0.4130248839359435,0.44607843137254904,0.5311284046692607,[0 1],0.49416342412451364,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 22. 138.]
11,0.5321795079688658,0.586732357446271,0.546875,[0 1],0.46484375,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[109. 120.]
12,0.5507860735693046,0.5647840531561462,0.639921722113503,[0 1],0.6046966731898239,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 60. 135.]
13,0.2618466274195569,0.4299296899968041,0.3641732283464567,[0 1],0.5255905511811023,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 40. 129.]
14,0.4750378214826021,0.3115079365079365,0.3115079365079365,[0],0.4781746031746032,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  7. 136.]
15,0.5641025641025641,0.39285714285714285,0.39285714285714285,[0],0.5099206349206349,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 99. 104.]
16,0.5772570756697742,0.5617730679762213,0.5873015873015873,[0 1],0.47023809523809523,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[63. 75.]
17,0.11632270168855535,0.061752988047808766,0.061752988047808766,[0],0.45219123505976094,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 21. 101.]
18,0.6494960251247056,0.6383214053350683,0.6832669322709163,[0 1],0.4442231075697211,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[14. 71.]
19,0.1018597692039819,0.1125524109014675,0.106,[0 1],0.53,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[54. 85.]
20,0.13433215547703178,0.11458333333333333,0.132,[0 1],0.512,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[55. 88.]
21,0.7189542483660131,0.5612244897959183,0.5612244897959183,[0],0.5081632653061224,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[79. 81.]
22,0.4705632757052331,0.5674014628199918,0.5244897959183673,[0 1],0.5102040816326531,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[57. 83.]
23,0.6789481258086891,0.677570093457944,0.7177914110429447,[0 1],0.7505112474437627,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 87. 124.]
24,0.4048490883200034,0.5,0.5623721881390593,[0 1],0.5337423312883436,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 77. 100.]
25,0.5053929121725732,0.33814432989690724,0.33814432989690724,[0],0.4865979381443299,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 64. 123.]
26,0.8169380830585904,0.8037383177570093,0.8264462809917356,[0 1],0.762396694214876,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 82. 121.]
27,0.1052497473906771,0.09489846110603611,0.10416666666666667,[0 1],0.4895833333333333,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 27. 128.]
28,0.6833660030222217,0.6936597281223449,0.6841004184100419,[0 1],0.46443514644351463,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[69. 86.]
29,0.8327228327228327,0.7133891213389121,0.7133891213389121,[1],0.4811715481171548,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[0. 8.]
30,0.06879197395060392,0.06577727045730185,0.06722689075630252,[0 1],0.5462184873949579,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[10. 17.]
31,0.8453025122351635,0.8373881932021467,0.848421052631579,[0 1],0.5347368421052632,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 37. 115.]
