,Avp,,,Int,,,,
,F1 Score,BAccuracy,Accuracy,F1 Score,BAccuracy,Accuracy,Class,Test IX
32,0,0,0,0.106995885,0.056521739,0.056521739,[1],72
45,0.437984496,0.280397022,0.280397022,0.173228346,0.094827586,0.094827586,[0],73
69,0,0,0,0.343859649,0.207627119,0.207627119,[1],74
52,0.994974874,0.99,0.99,0.507042254,0.339622642,0.339622642,[0],75
39,0.886456908,0.796068796,0.796068796,0.971659919,0.94488189,0.94488189,[1],76
51,0.085918854,0.044887781,0.044887781,0,0,0,[0],77
110,0.580019399,0.408469945,0.408469945,0.824096386,0.700819672,0.700819672,[1],78
114,1,1,1,0.778761062,0.637681159,0.637681159,[0],79
80,0,0,0,0.092050209,0.048245614,0.048245614,[1],80
7,0.997777778,0.99556541,0.99556541,0.888311688,0.799065421,0.799065421,[0],81
72,1,1,1,1,1,1,[1],82
65,1,1,1,0.873684211,0.775700935,0.775700935,[0],83
127,0.989840348,0.979885057,0.979885057,1,1,1,[1],84
21,0.421441774,0.266978923,0.266978923,0.218487395,0.122641509,0.122641509,[0],85
37,0.743648961,0.591911765,0.591911765,0.621409922,0.450757576,0.450757576,[1],86
54,0.991787745,0.983709273,0.983709273,0.529209622,0.359813084,0.359813084,[0],87
119,0.016643551,0.008391608,0.008391608,0.305882353,0.180555556,0.180555556,[1],88
84,0.053915276,0.027704485,0.027704485,0,0,0,[0],89
58,0.497634816,0.331234257,0.331234257,0.838709677,0.722222222,0.722222222,[1],90
24,0.95049505,0.905660377,0.905660377,0.674220963,0.508547009,0.508547009,[0],91
94,1,1,1,0.857142857,0.75,0.75,[0],92
49,0.830545455,0.710199005,0.710199005,0.891041162,0.80349345,0.80349345,[1],93
56,0.922139472,0.855527638,0.855527638,0.018348624,0.009259259,0.009259259,[0],94
78,0.780175859,0.639580603,0.639580603,0.69273743,0.52991453,0.52991453,[1],95
9,0,0,0,0.207885305,0.116,0.116,[1],96
70,0.992824527,0.985751295,0.985751295,0.789346247,0.652,0.652,[0],97
25,0.848979592,0.737588652,0.737588652,0.984198646,0.968888889,0.968888889,[1],98
116,1,1,1,0.64665127,0.4778157,0.4778157,[0],99
6,0.986149584,0.972677596,0.972677596,1,1,1,[1],100
83,1,1,1,0.585365854,0.413793103,0.413793103,[0],101
79,0.867952522,0.766710354,0.766710354,0.96969697,0.941176471,0.941176471,[1],102
10,0.804333108,0.672706682,0.672706682,0.909512761,0.834042553,0.834042553,[1],103
113,1,1,1,0.862533693,0.758293839,0.758293839,[0],104
27,0.984783932,0.970023981,0.970023981,0.57615894,0.404651163,0.404651163,[0],105
104,0.00270636,0.001355014,0.001355014,0.321311475,0.19140625,0.19140625,[1],106
107,0.628731343,0.458503401,0.458503401,0.489296636,0.32388664,0.32388664,[0],107
67,0.020382166,0.01029601,0.01029601,0.303030303,0.178571429,0.178571429,[1],108
68,0.999353588,0.99870801,0.99870801,0.815864023,0.688995215,0.688995215,[0],109
33,1,1,1,1,1,1,[1],110
85,1,1,1,0.817142857,0.690821256,0.690821256,[0],111
1,0.027105518,0.01373896,0.01373896,0.096774194,0.050847458,0.050847458,[1],112
44,1,1,1,0.730650155,0.575609756,0.575609756,[0],113
