,F1 Score,BAccuracy,Accuracy,Class,Baseline,Fitted Models,Test IX
54,0.9922128487994808,0.9845460399227302,0.9845460399227302,[0],0.5183515775917579,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 87. 111.]
55,0.672929120409906,0.5070785070785071,0.5070785070785071,[0],0.44594594594594594,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 42. 101.]
56,0.5517241379310345,0.38095238095238093,0.38095238095238093,[0],0.46782496782496785,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[89. 94.]
57,0.008455928734920317,0.00818639798488665,0.008354755784061696,[0 1],0.480719794344473,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[30. 80.]
58,0.7897196261682243,0.6525096525096525,0.6525096525096525,[1],0.7387387387387387,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[35. 90.]
59,0.8671532846715329,0.7654639175257731,0.7654639175257731,[0],0.5483247422680413,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[23. 62.]
60,0.8884506317237301,0.8879423328964613,0.890032154340836,[0 1],0.5292604501607717,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 40. 102.]
61,0.4390474250984378,0.4641792683170227,0.46099290780141844,[0 1],0.4977433913604126,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[55. 95.]
62,0.9015792613594618,0.9013071895424837,0.9026434558349452,[0 1],0.5074145712443585,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[44. 45.]
63,0.035465484483850535,0.018052869116698903,0.018052869116698903,[1],0.49065119277885233,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 10. 127.]
64,0.5665783387380754,0.629156010230179,0.6255648805681084,[0 1],0.49128469980632666,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 29. 117.]
65,0.4755562096088011,0.5691906005221932,0.5736434108527132,[0 1],0.5025839793281653,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[16. 83.]
66,0.0012919896640826874,0.0006464124111182935,0.0006464124111182935,[1],0.4796380090497738,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[114. 138.]
67,0.6681034482758621,0.5016181229773463,0.5016181229773463,[1],0.7359223300970874,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 82. 108.]
68,0.9951251218719532,0.9902975420439845,0.9902975420439845,[0],0.5,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 97. 109.]
69,0.0,0.0,0.0,[1],0.48382923673997413,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 4. 74.]
