1551465520.000000, 1551465520.000000, 1551465520.000000
32.000000, 32.000000, 32.000000
-41,-4,50
-41,-4,49
-42,-4,49
-42,-3,49
-42,-3,49
-41,-4,49
-41,-4,49
-41,-5,49
-40,-4,50
-40,-4,49
-41,-4,49
-40,-4,50
-42,-4,49
-40,-4,49
-40,-4,50
-38,-4,51
-40,-4,50
-39,-4,50
-40,-4,50
-40,-3,50
-43,-3,49
-42,-3,48
-41,-3,50
-40,-4,50
-40,-3,50
-40,-3,50
-40,-3,50
-41,-3,49
-41,-3,49
-42,-3,49
-41,-3,49
-42,-5,48
-41,-5,48
-43,-4,48
-43,-3,47
-47,-1,46
-48,-1,45
-46,-2,46
-45,-3,46
-43,-3,47
-44,-3,47
-43,-3,47
-44,-4,47
-44,-4,47
-44,-3,47
-45,-2,47
-45,-2,46
-45,-2,46
-45,-2,47
-45,-3,47
-45,-2,46
-46,-3,46
-44,-3,47
-44,-3,47
-44,-3,47
-44,-3,47
-44,-3,47
-44,-3,47
-44,-4,47
-44,-3,47
-44,-3,47
-44,-3,47
-45,-3,46
-45,-3,46
-45,-3,47
-44,-3,47
-44,-4,47
-44,-3,47
-44,-3,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-3,47
-44,-4,47
-44,-4,47
-44,-3,47
-44,-3,47
-45,-3,46
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-45,-4,46
-45,-4,46
-44,-4,47
-44,-3,47
-44,-3,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,46
-44,-4,46
-44,-4,47
-44,-4,47
-45,-4,46
-44,-3,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-45,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-45,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,46
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-3,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-3,47
-44,-4,47
-44,-3,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,46
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,46
-44,-4,46
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-45,-4,46
-44,-4,46
-45,-3,46
-45,-3,46
-45,-3,46
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-43,-3,48
-44,-4,47
-41,-2,48
-42,-4,49
-43,-3,47
-43,-4,48
-43,-4,48
-41,-4,48
-42,-4,48
-42,-4,48
-42,-4,48
-43,-4,48
-43,-4,48
-42,-4,48
-41,-4,49
-41,-4,49
-41,-4,49
-42,-5,49
-42,-5,48
-43,-4,48
-43,-4,49
-44,-4,48
-39,-6,50
-35,-4,53
-28,-5,58
-24,-4,58
-29,-2,56
-29,-3,55
-28,-2,55
-25,-5,59
-21,0,64
-18,-3,58
-26,-1,57
-25,-2,58
-25,-1,58
-25,-1,59
-24,-2,58
-25,-2,58
-28,-3,56
-35,-4,53
-35,-3,53
-35,-4,53
-42,-5,49
-41,-5,50
-42,-5,48
-40,-5,49
-46,-4,45
-43,-4,47
-43,-4,48
-44,-5,49
-47,-4,44
-47,-4,46
-46,-5,45
-46,-4,45
-45,-4,46
-45,-3,46
-46,-4,46
-45,-4,45
-45,-4,46
-45,-4,46
-45,-3,46
-44,-3,47
-44,-3,47
-44,-4,47
-45,-4,46
-45,-4,46
-45,-4,47
-44,-4,47
-43,-4,48
-43,-4,48
-44,-4,47
-44,-4,47
-45,-4,46
-44,-4,47
-43,-3,48
-43,-4,48
-43,-4,48
-43,-4,47
-44,-4,46
-45,-4,46
-44,-3,47
-43,-4,48
-42,-4,48
-42,-4,48
-43,-4,48
-43,-4,47
-43,-4,47
-43,-4,48
-42,-4,48
-43,-4,48
-43,-4,48
-43,-4,47
-43,-4,48
-43,-4,48
-43,-4,48
-43,-4,48
-43,-4,47
-43,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-5,46
-44,-4,47
-44,-4,47
-44,-4,47
-43,-4,48
-43,-4,48
-43,-4,48
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-43,-4,48
-43,-4,48
-43,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
-44,-4,47
