,F1 Score,Accuracy,mAUC,mAP,mAUPRC,Kappa,mTPR@1%FPR,mTPR@5%FPR,mEER,Fitted Models,Test IX
0,0.6430121222727323,0.44230603130273066,0.6239769139352355,0.4589172126217517,0.4588271021141774,0.1683950180040681,0.2573127703169374,0.15392722391425476,0.4107635723822214,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  4576   4577   4578 ... 229715 229716 229717]
1,0.5658021502905493,0.38724344755675594,0.609089506320906,0.42667837497082256,0.4265714004067594,0.10144200118276969,0.17744361900310315,0.12343669605582898,0.4254036750960167,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 13630  13631  13632 ... 257096 257097 257098]
2,0.5926345048806039,0.38281107370052064,0.5909006700333915,0.40925805690954414,0.4091489314953625,0.06642571598557989,0.19216685627446925,0.12452678446444443,0.4393964108405803,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[     0      1      2 ... 273788 273789 273790]
3,0.7285800081395591,0.4611531312291776,0.6236561932527751,0.4876512150428958,0.487553716536945,0.2748213496944304,0.27543728605492507,0.2077073405879836,0.42710691560759484,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 22486  22487  22488 ... 299209 299210 299211]
4,0.7251064095006634,0.36952669708835945,0.5262310250616417,0.3767606259900896,0.3766625610843413,0.08938329352956775,0.16817711378781974,0.09662851819482686,0.47411478204787727,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[133384 133385 133386 ... 264968 264969 264970]
5,0.6302886813474148,0.41380251436815074,0.617168450744947,0.42774708900645847,0.4276089453288953,0.13241835835943316,0.23013831398405485,0.16031231088351308,0.413920616509116,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  6839   6840   6841 ... 123594 123595 123596]
6,0.725578671547316,0.4297221205700361,0.7061240902212003,0.5205663663610879,0.5203445848381497,0.23719706736023605,0.3254712157591196,0.23075512517129915,0.3515065792266456,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 11371  11372  11373 ... 193342 193343 193344]
7,0.4960842052250164,0.38946455512092,0.6298922073760124,0.44043996750717235,0.4403344400242162,0.09766443278740655,0.19164224869834154,0.11260107733627082,0.3961458413339951,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[  2314   2315   2316 ... 291249 291250 291251]
8,0.6268761667977462,0.3429482429310485,0.6121679770772394,0.410638642946517,0.41054907254654527,0.016993676280302017,0.20446578789156278,0.11218070975131496,0.4156462234169069,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 68503  68504  68505 ... 238692 238693 238694]
9,0.6605148537408062,0.39671860095047967,0.5558551782203054,0.40337294879244273,0.40328102138570215,0.10927647676770302,0.1623400179643171,0.10487940208749393,0.474847461000863,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",[ 26980  26981  26982 ... 283155 283156 283157]
