,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,-8.86871690533827e-05,0.051305527297388895,0.00067819599864354,0.00016954899966084997,0.00051908078357716,0.27797167227482583,0.0001304223074313883,-3.13013537835638e-05,5.216892297232878e-06,-2.869290763493071e-05,0.13884237159923823,0.00039387536844295,0.07227743433236813,0.06248532749041389,4.695203067529574e-05,-6.521115371571629e-05,0.0004695203067532,0.00063385241411685,0.00012781386128276,0.38022015285494426,-4.1735138378073966e-05,-0.0001147716305396534,0.382839032788168,0.01112763127005235,0.4265200719931137,0.44648772726087066,0.01185538774551995,-0.00021389258418757001,-0.00025041083026834996,-1.8259123040431646e-05,1.304223074310995e-05,-5.216892297255081e-05,0.00764535566163232,3.390979993211918e-05,0.08053838328507704,0.08146177322169176,5.2168922972439805e-06,0.0018937319039047898,0.01321438818895578,0.05950387354253064,0.08236690403526613,0.00037822469155117004,0.00014868143047178816,-2.6084461486297618e-05,0.00083991965985855,0.0035109685160549403,-4.173513837805176e-05,0.00084252810600716,0.0008399196598585601,0.0005216892297258,0.00073297336776475,7.82533844586597e-06,-0.00010172939979653144,-2.6084461486330923e-06,0.0004330020606724,0.0008112267522236199,0.0638782377337819,0.06430602290215713,3.912669222940757e-05,0.0004512611837128,0.00228239038005052,-3.13013537835711e-05,0.0021389258418759295,1.565067689173194e-05,2.3476015337631217e-05,8.347027675610795e-05
std,5.6616569184140915e-05,0.0010973710867473614,9.91362065453789e-05,2.817443852505281e-05,4.987220491848791e-05,0.00210030583633398,5.767491440563514e-05,1.649726196710254e-05,1.6497261967102543e-05,2.593914302137629e-05,0.0011910825110542699,6.080160588829817e-05,0.0014341156903493067,0.0013551791964551516,2.6939915981671416e-05,1.3747718305957797e-05,3.4779281981733326e-05,6.15431162904034e-05,2.593914302139278e-05,0.0014781322706686523,3.927133853503263e-05,5.245794968827107e-05,0.002580485910752528,0.0003525854240173641,0.002324502978954949,0.002683841947786076,0.0004555040450011238,5.871418565574754e-05,3.5211339317634726e-05,2.147462248866761e-05,1.3747718305899277e-05,7.142808977410281e-21,0.0003474557321670266,1.2599991953996327e-05,0.001440624444263461,0.0013015539314440805,1.0998174644719422e-05,8.357889134569752e-05,0.0005488353626519172,0.0008231015093762399,0.0013898147693418676,7.300543262709476e-05,3.488779794578846e-05,2.1297873618884824e-05,0.00010845895526178731,0.0002438273242918929,1.8238409337695542e-05,8.611823574728658e-05,8.501382693188566e-05,7.377799840222073e-05,9.560349536932363e-05,1.2599991953942701e-05,2.5939143021393482e-05,8.248630983574677e-06,7.398265343725969e-05,9.32010134394803e-05,0.0009767228990952223,0.0012285292151273726,2.2167529686683254e-05,7.382921534586148e-05,0.00018495663359315592,6.365653795801962e-05,0.00020242318955268618,1.3469957990789125e-05,2.5939143021402342e-05,3.2064913642314734e-05
min,-0.000182591230404,0.0493778855935519,0.0004956047682395,0.0001304223074314,0.0004173513837806,0.2745389571432297,5.216892297255082e-05,-5.216892297255082e-05,-2.6084461486330923e-05,-5.216892297255082e-05,0.1370999295719539,0.0003130135378355,0.0703758770900174,0.0609072175704932,0.0,-7.825338445888175e-05,0.0004173513837806,0.0005477736912121,0.0001043378459451,0.3769465529384146,-7.825338445888175e-05,-0.000182591230404,0.3775725800140855,0.0104077001330307,0.4212640530036257,0.4426272269608993,0.0112163184391057,-0.0003130135378355,-0.0002869290763491,-5.216892297255082e-05,0.0,-5.216892297255082e-05,0.0069645512168401,2.60844614862199e-05,0.0783838067663093,0.0796880298406239,0.0,0.0017215744580952,0.0124162036674753,0.0576205754232204,0.079792367686569,0.0002869290763491,7.825338445888175e-05,-5.216892297255082e-05,0.0006521115371572,0.0030518819938961,-5.216892297255082e-05,0.0007303649216161,0.0006781959986436,0.0003912669222944,0.0005738581526983,0.0,-0.0001304223074314,-2.6084461486330923e-05,0.0003130135378355,0.0006781959986436,0.0618984271069723,0.0620810183373764,0.0,0.000365182460808,0.001878081227013,-0.0001043378459452,0.001878081227013,0.0,0.0,2.60844614862199e-05
25%,-0.00012390119205985,0.05074079870621065,0.00063254819104255,0.0001565067689177,0.0005216892297258,0.27709523436888644,8.477449983043632e-05,-4.564780760099584e-05,0.0,-5.216892297255082e-05,0.13791506899340059,0.000345619114693275,0.0712627487805513,0.06172887810731137,2.60844614862199e-05,-7.825338445888175e-05,0.00044995696063847496,0.0005803792680698999,0.0001043378459451,0.37982236481727827,-7.173226908729902e-05,-0.0001565067689177,0.3813483058142264,0.0109293893627565,0.42590708714818576,0.4449878707254088,0.011601064246028626,-0.0002347601533766,-0.00028040796097755,-2.6084461486330923e-05,0.0,-5.216892297255082e-05,0.00746667710045125,2.60844614862199e-05,0.07959021311005028,0.08030753580092327,0.0,0.001858517880898275,0.012840076166627475,0.05922476980462733,0.0818595612593577,0.00031953465320705,0.000136943422802975,-4.564780760099584e-05,0.0007825338445887,0.00334533218561695,-5.216892297255082e-05,0.00076949161384555,0.000808618306075,0.000476041422124775,0.0006781959986436,0.0,-0.00012390119205985,0.0,0.00039778803766595,0.0007564493831024,0.0632809035657458,0.06361348044969611,3.260557685780263e-05,0.00039778803766595,0.0022237003417063,-9.129561520203771e-05,0.002041109111302375,0.0,0.0,7.825338445888175e-05
50%,-7.825338445888175e-05,0.051451600281712154,0.0006651537679004001,0.0001565067689177,0.0005216892297258,0.2783864152124579,0.0001304223074314,-2.6084461486330923e-05,0.0,-2.6084461486330923e-05,0.1390953908756553,0.0003782246915512,0.0719539870099381,0.0619766804914312,5.216892297255082e-05,-6.521115371571629e-05,0.0004695203067532,0.000626027075671,0.0001304223074314,0.38048099746980724,-5.216892297255082e-05,-0.00013042230743145,0.38348071054073085,0.01125544513133515,0.4268982966846649,0.4463964316456686,0.0117771343610611,-0.0002347601533766,-0.0002608446148629,-2.6084461486330923e-05,1.304223074310995e-05,-5.216892297255082e-05,0.007734042830685701,2.60844614862199e-05,0.08030101468555176,0.0815791532983801,0.0,0.0019041656884993,0.01323786420429345,0.059576910034692246,0.0827790385267496,0.0003782246915512,0.0001565067689177,-2.6084461486330923e-05,0.0008216605368181,0.003651824608081,-5.216892297255082e-05,0.0008477449983044,0.0008347027675613,0.00050864699898265,0.0007303649216161,0.0,-0.0001043378459452,0.0,0.0004173513837806,0.000808618306075,0.06397214179513261,0.06408952187182085,5.216892297255082e-05,0.00044343584526690004,0.00228239038005055,-2.6084461486330923e-05,0.00209979914964645,2.60844614862199e-05,2.60844614862199e-05,7.825338445888175e-05
75%,-5.869003834413355e-05,0.05184286720400655,0.000723843806244525,0.00019563346114715,0.0005216892297258,0.2791819912877898,0.0001825912304039,-2.6084461486330923e-05,1.9563346114664926e-05,-2.6084461486330923e-05,0.1398844458356156,0.000436914729895325,0.07296475989253193,0.06327438245037426,7.173226908729902e-05,-5.216892297255082e-05,0.0004956047682395,0.0006781959986436,0.0001304223074314,0.38083313769987215,-2.6084461486330923e-05,-5.869003834413355e-05,0.38459582126926983,0.01133369851579405,0.42820251975897955,0.4476419646816391,0.0122075279755849,-0.000182591230404,-0.0002347601533766,-6.521115371582731e-06,2.60844614862199e-05,-5.216892297255082e-05,0.00781881733051615,4.5647807600968087e-05,0.08099225291493853,0.08247254610428566,0.0,0.0019302501499856,0.013335680934867,0.06003990922607395,0.08293554529566732,0.0004173513837806,0.00017607011503234998,-6.521115371582731e-06,0.000906435036648625,0.0036713879541956504,-3.26055768578859e-05,0.0008803505751623001,0.0008868716905339,0.00056733703732675,0.00082166053681815,1.9563346114664926e-05,-8.477449983046131e-05,0.0,0.0004956047682395,0.0008542661136759501,0.06460468998617513,0.06525680152333245,5.216892297255082e-05,0.0004956047682395,0.0023867282259956747,-6.521115371582731e-06,0.00223674257244955,2.60844614862199e-05,2.60844614862199e-05,9.781673057354543e-05
max,0.0,0.0530297102016328,0.0008347027675613,0.0002086756918903,0.0005999426141847,0.2811644103607481,0.0002086756918903,0.0,2.60844614862199e-05,2.60844614862199e-05,0.1402822338732816,0.0004956047682395,0.0750971646190363,0.0652111537157315,7.825338445888175e-05,-5.216892297255082e-05,0.0005216892297258,0.0007303649216161,0.0001825912304039,0.3827894723113441,5.216892297255082e-05,-5.216892297255082e-05,0.3857891853822677,0.0115815008999139,0.4288546312961369,0.4507134100216501,0.0124944570519341,-0.0001043378459452,-0.000182591230404,2.60844614862199e-05,2.60844614862199e-05,-5.216892297255082e-05,0.0081383519837232,5.216892297255082e-05,0.0830268409108694,0.0834702767561363,2.60844614862199e-05,0.0020345879959308,0.0142421159715157,0.0605420351096851,0.0844614862926155,0.0004956047682395,0.0001825912304039,0.0,0.0009912095364791,0.0037822469155124,0.0,0.0010172939979653,0.0009651250749928,0.000626027075671,0.0008607872290475,2.60844614862199e-05,-5.216892297255082e-05,0.0,0.0005216892297258,0.0009651250749928,0.0650546469468137,0.0663067010981558,5.216892297255082e-05,0.0005999426141847,0.0025562772256566,7.825338445888175e-05,0.0025301927641703,2.60844614862199e-05,7.825338445888175e-05,0.0001304223074314
