,F1 Score,BAccuracy,Accuracy,Class,Test Baseline Class 0,Test Baseline Class 1,Train Baseline Class 0,Train Baseline Class 1,Train Identities Class 0,Train Identities Class 1,Test Identities Class 0,Test Identities Class 1,AUC,AP,AUPRC,Kappa,TPR@1%FPR,TPR@5%FPR,EER,Fitted Models,Test IX
0,0.8057711905234182,0.56814768754253,0.8221502096835684,[0 1],0.8551277163553184,0.14487228364468166,0.846271732811922,0.153728267188078,61,11,6,1,0.6865640472112068,0.2466613782821954,0.28057102073101925,0.15957751862247116,0.30526315789473685,0.1513157894736842,0.3438252799538715,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 3. 17. 23. 45. 61. 69. 74.]
1,0.6840120444380653,0.5180088292472189,0.7377508166122259,[0 1],0.7660600404417484,0.23393995955825167,0.8563847011837513,0.14361529881624868,61,10,6,2,0.5082631088670483,0.25297494523332054,0.2612279614113585,0.046916900688427576,0.1529255319148936,0.06582446808510638,0.49913227361509893,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 2. 12. 21. 47. 49. 58. 70. 73.]
2,0.5570984171352341,0.5607311798035397,0.6350468115173997,[0 1],0.5931814167108285,0.40681858328917153,0.8725201405401569,0.12747985945984314,62,9,5,3,0.6317715039838498,0.5320369765506072,0.5856416079354878,0.13839793173530102,0.23187147199305255,0.1619626574033869,0.4055396396859321,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[13. 24. 40. 41. 52. 71. 72. 75.]
3,0.938507462686567,0.8841394825646794,0.8841394825646794,[0],1.0,0.0,0.8272043422035226,0.17279565779647743,58,12,9,0,0.0,-0.0,0.5,0.0,,,1.8189894035458565e-12,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 5. 10. 16. 20. 26. 28. 35. 37. 56.]
4,0.8834024148495225,0.7911555842479019,0.7911555842479019,[0],1.0,0.0,0.8300399505544707,0.1699600494455293,59,12,8,0,0.0,-0.0,0.5,0.0,,,1.8189894035458565e-12,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 8. 15. 18. 19. 25. 54. 60. 62.]
5,0.7339391888371851,0.42978351771898843,0.7217240836872739,[0 1],0.8713229510775523,0.1286770489224477,0.8442452118293866,0.1557547881706134,60,11,7,1,0.3970547144917281,0.11065729506681878,0.09310968179782506,-0.127602675916481,0.011002444987775062,0.0,0.5653581167991418,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 4. 11. 29. 32. 33. 46. 64. 66.]
6,0.9184822521419829,0.8492530556813037,0.8492530556813037,[0],1.0,0.0,0.8287174117137286,0.17128258828627138,59,12,8,0,0.0,-0.0,0.5,0.0,,,1.8189894035458565e-12,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 7. 30. 31. 39. 42. 50. 65. 67.]
7,0.5995504346002191,0.4514007686359056,0.6287234042553191,[0 1],0.7465045592705167,0.25349544072948327,0.8589519256787228,0.14104807432127717,61,10,6,2,0.45713038689569513,0.22995505053626789,0.21698580692144054,-0.10997884023730098,0.046762589928057555,0.004796163069544364,0.5201744957956629,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 0.  6.  9. 44. 48. 51. 59. 68.]
8,0.5016466778592342,0.5367287082662072,0.584237165582068,[0 1],0.5600144613159798,0.43998553868402024,0.8751305702600782,0.12486942973992175,63,9,4,3,0.615593501890848,0.5180926852435633,0.5727520462492754,0.08009418558446924,0.20460147904683648,0.09695973705834018,0.4136215683864516,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[ 1. 14. 27. 34. 55. 57. 77.]
9,0.9552114552114552,0.9142629482071714,0.9142629482071714,[0],1.0,0.0,0.8297990670972372,0.17020093290276284,59,12,8,0,0.0,-0.0,0.5,0.0,,,1.8189894035458565e-12,"Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_jobs=-1, n_neighbors=9))])",[22. 36. 38. 43. 53. 63. 76. 78.]
